subject_category	predicate	object_category	count
biolink:Drug	biolink:treats	biolink:Disease	681
biolink:Gene	biolink:gene_associated_with_condition	biolink:Disease	277
biolink:Disease	biolink:occurs_together_in_literature_with	biolink:Drug	263
biolink:SmallMolecule	biolink:treats	biolink:Disease	190
biolink:Disease	biolink:occurs_together_in_literature_with	biolink:SmallMolecule	182
biolink:Drug	biolink:affects	biolink:Gene	148
biolink:Gene	biolink:physically_interacts_with	biolink:Gene	83
biolink:MolecularMixture	biolink:treats	biolink:Disease	26
biolink:Disease	biolink:occurs_together_in_literature_with	biolink:MolecularMixture	25
biolink:Disease	biolink:occurs_together_in_literature_with	biolink:ChemicalEntity	24
biolink:SmallMolecule	biolink:affects	biolink:Gene	23
biolink:Gene	biolink:colocalizes_with	biolink:Gene	21
biolink:ChemicalEntity	biolink:treats	biolink:Disease	21
biolink:ChemicalEntity	biolink:interacts_with	biolink:ChemicalEntity	20
biolink:Disease	biolink:affects	biolink:Disease	18
biolink:Gene	biolink:affects	biolink:Gene	13
biolink:Disease	biolink:subclass_of	biolink:Disease	13
biolink:ChemicalEntity	biolink:physically_interacts_with	biolink:Gene	12
biolink:Disease	biolink:causes	biolink:Disease	11
biolink:Gene	biolink:directly_physically_interacts_with	biolink:Gene	9
biolink:Gene	biolink:gene_associated_with_condition	biolink:PhenotypicFeature	9
biolink:Drug	biolink:directly_physically_interacts_with	biolink:Gene	8
biolink:ChemicalEntity	biolink:affects	biolink:Gene	7
biolink:Drug	biolink:subclass_of	biolink:Drug	5
biolink:ChemicalEntity	biolink:interacts_with	biolink:Drug	5
biolink:Drug	biolink:physically_interacts_with	biolink:Gene	4
biolink:Gene	biolink:interacts_with	biolink:Gene	4
biolink:PhenotypicFeature	biolink:subclass_of	biolink:Disease	4
biolink:Drug	biolink:has_part	biolink:Drug	3
biolink:SmallMolecule	biolink:subclass_of	biolink:SmallMolecule	3
biolink:ChemicalEntity	biolink:subclass_of	biolink:ChemicalEntity	3
biolink:SmallMolecule	biolink:physically_interacts_with	biolink:Gene	3
biolink:ChemicalEntity	biolink:directly_physically_interacts_with	biolink:Gene	3
biolink:Disease	biolink:predisposes_to_condition	biolink:Disease	3
biolink:Disease	biolink:precedes	biolink:Disease	3
biolink:Drug	biolink:ameliorates_condition	biolink:Disease	3
biolink:SmallMolecule	biolink:subclass_of	biolink:Drug	2
biolink:ChemicalEntity	biolink:directly_physically_interacts_with	biolink:Protein	2
biolink:Drug	biolink:affects	biolink:PhysiologicalProcess	2
biolink:ChemicalEntity	biolink:interacts_with	biolink:Gene	2
biolink:Gene	biolink:causes	biolink:Disease	2
biolink:Gene	biolink:predisposes_to_condition	biolink:Disease	2
biolink:AnatomicalEntity	biolink:causes	biolink:PhenotypicFeature	2
biolink:AnatomicalEntity	biolink:causes	biolink:Disease	2
biolink:Disease	biolink:exacerbates_condition	biolink:Disease	2
biolink:PhenotypicFeature	biolink:causes	biolink:Disease	2
biolink:PhenotypicFeature	biolink:affects	biolink:Disease	2
biolink:Disease	biolink:contributes_to	biolink:Disease	2
biolink:Drug	biolink:subclass_of	biolink:ChemicalEntity	1
biolink:Drug	biolink:located_in	biolink:CellularComponent	1
biolink:Drug	biolink:interacts_with	biolink:Gene	1
biolink:Drug	biolink:regulates	biolink:Gene	1
biolink:SmallMolecule	biolink:interacts_with	biolink:SmallMolecule	1
biolink:ChemicalEntity	biolink:subclass_of	biolink:AnatomicalEntity	1
biolink:CellularComponent	biolink:has_part	biolink:Gene	1
biolink:Drug	biolink:subclass_of	biolink:Gene	1
biolink:Gene	biolink:produces	biolink:Gene	1
biolink:Gene	biolink:disrupts	biolink:Disease	1
biolink:Gene	biolink:treats	biolink:Disease	1
biolink:Gene	biolink:close_match	biolink:Disease	1
biolink:SmallMolecule	biolink:directly_physically_interacts_with	biolink:Gene	1
biolink:Protein	biolink:interacts_with	biolink:Gene	1
biolink:ChemicalEntity	biolink:regulates	biolink:Gene	1
biolink:PhenotypicFeature	biolink:manifestation_of	biolink:Disease	1
biolink:PhysiologicalProcess	biolink:affects	biolink:Disease	1
biolink:Gene	biolink:affects	biolink:Disease	1
